
Thread-2::FeetToMetersFilter Reading 
Thread-0::Source reading file...

Thread-1::FahrenheitToCelsiusFilter Reading 
Thread-3::Sink Reading 
Time:                           Temperature (C):        Altitude (m): 
---------------------------------------------------------------------------------
2014:14:13:01:294                            0.0                  0.0 

2014:14:13:01:812                       -8.39873          24918.74048 

2014:14:13:01:812                       -8.39873          24918.74048 

2014:14:13:01:812                       -8.21534          24918.74048 

2014:14:13:01:812                       -8.21534          24918.74048 

2014:14:13:01:62                        -8.21534          24918.74048 

2014:14:13:01:62                        -8.21534          24918.74048 

2014:14:13:01:62                        -8.21534          25175.19796 

2014:14:13:01:62                        -8.21534          25175.19796 

2014:14:13:01:62                        -7.02845          25175.19796 

2014:14:13:01:62                        -7.02845          25175.19796 

2014:14:13:01:313                       -7.02845          25175.19796 

2014:14:13:01:313                       -7.02845          25175.19796 

